when covid lockdown ends,42
when covid will end,42
will covid end soon,42
when covid will be over,42
who is at risk of developing severe illness,92
if i vape tobacco or nicotine am i at risk for complications from covid,92
is covid killing more liberals or conservatives,92
is obesity a top risk factor in covid hospitalizations,92
how long does covid live on produce,75
does covid live on surfaces,75
is it safe to receive a package from any area where covid has been reported,75
can covid live on paper,75
why is it called a covid,39
are covid and covid the same,39
why covid name,39
have covid numbers going down,1
are covid numbers increasing,1
have covid cases peaked,1
are covid numbers going down,1
why is the us struggling so much compared to other countries when it comes to testing for covid,51
how is the us reaction to the spread of the covid different from chinas,51
why does covid spread fast in the usa what makes it worse,51
why is the covid fatality rate so high in the us compared to china,51
what is the temperature required to kill covid,8
does covid die in freezer,8
can covid live in freezer,8
can covid survive in heat,8
what do you think will be the new normal after covid,23
how do you think is the new normal going to look like in after covid days to come,23
how is covid changing the world for better and for worse,23
what would be the aftermath of the covid outbreak,23
is this covid the beginning of the end for america as we know it,387
is the covid virus a sign of an upcoming apocalypse,387
will covid end the world,387
will covid last until everyone dies and humans go extinct,387
can the virus that causes covid be spread through food,5
are food products produced in the united states or other countries affected by covid a risk for the spread of covid,5
can food or clothes be contaminated with covid,5
can i get covid through food,5
what is the source of the virus,18
where covid originated,18
is china really the origin of covid,18
where did covid come from,18
did the covid develop in a laboratory,12
was covid made in a lab,12
was covid engineered,12
did covid start in a lab,12
how likely is it that the covid virus was created by the chinese as a biological weapon,37
was covid meant to happen,37
do you think covid was injected purposely,37
is the conspiracy theory of china spreading covid legitimate,37
can you catch a covid more than once,100
are covid survivors immune,100
can you get covid twice or does it cause immunity,100
after recovering from covid does a person have long term immunity to the virus,100
how is covid transmitted,22
how does the virus spread,22
how does this covid spread,22
how does covid spread,22
what does it mean that covid is a global pandemic,28
what will be the breaking point that will declare covid a pandemic,28
shouldnt covid be declared as a pandemic,28
who covid pandemic,28
should i get a face mask,79
should i use a mask,79
should children wear masks,79
should i purchase personal protective equipment for me and my family,79
what advice should we follow against covid,97
whats the best way to prevent covid,97
what can i do to protect myself and prevent the spread of disease,97
how are you avoiding gaining the covid,97
what alternatives do i have if there are no hand sanitizers available,99
should i use soap and water or a hand sanitizer to protect against covid,99
how effective are alternative disinfection methods,99
what cleaning products should i use to protect against covid,99
who do you believe about using hydroxychloroquine to treat covid,116
evidence of hydroxychloroquine(hcq) being anti inflammatory in covid critically ill patients with elevated plasma cytokines,116
are hydroxychloroquine and azithromycin the best treatment protocol for covid,116
are there data showing that chloroquine phosphate or hydroxychloroquine sulfate might benefit patients with covid,116
had covid mutated,7
does covid mutate,7
is covid currently mutating,7
how likely is the covid virus to mutate and when,7
did covid come from eating bats,11
what is the true origin of the covid virus and is the wuhan bat snacking hypothesis credible,11
did covid start with a bat,11
did covid come from snakes,11
are blood tests useful to diagnose covid,26
what type of test was initially developed to screen for covid,26
how do testing kits for covid detect the virus,26
what kind of test is being used to diagnose if i have covid,26
why worry about covid when the flu kills so many people,29
why covid is worse than the flu,29
is covid worse then swine flu,29
why covid is worse than flu,29
how long will it take for scientists to develop a vaccine to covid,43
has the covid vaccine been found,43
is there a vaccine drug or treatment for covid,43
are there any vaccines or other medical products to prevent covid,43
what is the number of victims worldwide due to covid,56
world covid death toll,56
what approximately is the actual mortality rate for covid,56
who covid mortality rate,56
how do you wash vegetables and fruits these days of the covid epidemic,81
is grocery shopping safe during the covid pandemic,81
what is the best way to handle groceries during covid,81
because of the covid pandemic do you wash your groceries,81
what damage to the economy will covid cause,434
how could the covid outbreak trigger a major economic recession in the us,434
what is the impact of covid on the global economy,434
how will global trade change due to covid,434
which covid test is best,4
which covid test is more accurate,4
which covid antibody tests are accurate,4
which covid test is most accurate,4
will covid return next year,55
how come covid is going to come back after it goes away for a time,55
will covid come back,55
will covid be a problem next year,55
is covid that bad,58
is the fear around the covid overblown justified or too early to say,58
how concerned are you about the covid that causes covid,58
are you worried about covid,58
what are the treatments for covid,94
how should you treat the covid at home,94
which are the medicines currently being used to treat covid,94
are there any fda approved drug products or medicines to treat covid,94
what symptoms might people experience with covid,17
what are the symptoms and complications that covid can cause,17
what are the symptoms of covid,17
who covid symptoms,17
how covid started,24
what is the main cause of covid,24
how covid starts,24
if covid wasnt engineered how did it develop,24
