,bert,bert,bert,bert,simcse,simcse,simcse,simcse,diffcse,diffcse,diffcse,diffcse,promcse,scd,scd
,bert,bert,roberta,roberta,bert,bert,roberta,roberta,bert,bert,roberta,roberta,bert,bert,roberta
,base,large,base,large,base,large,base,large,base,large,base,large,base,base,base
mean,-0.0105,-0.0011,0.0201,-0.0316,-0.0108,-0.0043,0.0213,-0.0312,-0.0073,-0.0071,0.0376,0.0387,-0.0105,-0.0177,0.0214
mean_std,0.4365,0.4482,0.404,0.9797,0.2663,0.2525,0.2815,0.3917,0.2795,0.2738,0.7303,0.7726,0.4365,0.3149,0.9293
std,0.307,0.3848,0.024,0.1045,0.4482,0.4183,0.4494,0.9029,0.2293,0.2149,0.4472,0.4195,0.307,0.0694,0.1409
>0.5,33.0,175.0,4.0,7.0,13.0,12.0,29.0,186.0,2.0,3.0,61.0,27.0,33.0,1.0,6.0
>1.0,14.0,25.0,1.0,3.0,1.0,1.0,2.0,11.0,1.0,1.0,4.0,6.0,14.0,1.0,1.0
iso,,,,,,,,,,,,,,,
cos,0.6691,0.5635,0.9964,0.9803,0.2626,0.2682,0.2776,0.1569,0.5984,0.62,0.7194,0.7659,0.6684,0.9534,0.9774
uni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pdist_norm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
norm_mean,14.8433,19.0015,11.2226,31.6653,14.4516,15.6342,14.8594,31.7184,10.0238,9.6499,23.8714,24.472,14.8433,8.9466,26.0401
norm_std,0.7119,1.7316,0.3054,0.0106,0.7865,0.8713,1.5641,0.0386,0.3703,0.3301,0.9222,0.9156,0.7119,0.0274,0.6055
