encoder,,bert,bert,bert,bert,simcse,simcse,simcse,simcse
plm,,bert,bert,roberta,roberta,bert,bert,roberta,roberta
size,,base,large,base,large,base,large,base,large
init_dropout,,0,0,0,0,0,0,0,0
perturb_num,perturb_dropout,,,,,,,,
1,0.1,0.32,0.27,0.07,-0.11,0.56,0.67,-0.07,-0.01
1,0.2,0.53,0.43,0.12,-0.18,0.79,0.87,-0.01,-0.02
1,0.3,0.74,0.5,0.01,-0.23,0.92,0.94,0.21,0.05
1,0.4,0.85,0.33,-0.27,-0.15,0.95,0.81,0.48,0.14
1,0.5,0.85,0.16,-0.4,-0.15,0.94,0.19,0.6,0.42
1,0.6,0.89,0.46,-0.25,0.3,0.85,-0.38,0.81,0.95
1,0.7,0.87,0.47,0.08,0.16,0.71,-0.03,0.8,0.96
1,0.8,0.64,0.15,-0.46,0.21,0.3,-0.62,0.6,0.94
1,0.9,-0.34,-0.6,-0.84,0.39,-0.71,-0.99,0.24,0.87
